S,H,V,M
0.6,0.181818182,0.613292299,3
0.6,0.363636364,0.425981373,3
0.6,0.454545455,0.384621926,3
0.6,0.636363636,0.356495062,3
0.6,0.727272727,0.350685358,3
0.6,0.909090909,0.338368198,3
0.6,1.0,0.344410486,3
0.2,0.090909091,0.444108237,3
0.2,0.181818182,0.389727645,3
0.2,0.363636364,0.356495062,3
0.2,0.454545455,0.353473918,3
0.2,0.636363636,0.356495062,3
0.2,0.727272727,0.314199046,3
0.2,0.909090909,0.253776167,3
0.8,0.0,0.574017428,3
0.8,0.181818182,0.477340821,3
0.8,0.272727273,0.483383109,3
0.8,0.454545455,0.407854509,3
0.8,0.545454545,0.386706501,3
0.8,0.727272727,0.389727645,3
0.8,0.818181818,0.365558494,3
0.8,1.0,0.326283622,3
0.4,0.181818182,0.664651747,3
0.4,0.363636364,0.510573404,3
0.4,0.454545455,0.483383109,3
0.4,0.636363636,0.395769933,3
0.4,0.727272727,0.36253735,3
0.4,0.909090909,0.352748789,3
0.4,1.0,0.352960229,3
1.0,0.181818182,0.561932852,3
1.0,0.272727273,0.586102004,3
1.0,0.454545455,0.489425397,3
1.0,0.545454545,0.425981373,3
1.0,0.727272727,0.350452774,3
1.0,0.818181818,0.335347054,3
1.0,1.0,0.306495062,3
0.0,0.090909091,0.513594548,4
0.0,0.272727273,0.407854509,4
0.0,0.363636364,0.389727645,4
0.0,0.545454545,0.338368198,4
0.0,0.636363636,0.353473918,4
0.0,0.818181818,0.368579638,4
0.0,0.909090909,0.36253735,4
0.6,0.0,0.501509972,4
0.6,0.090909091,0.441087093,4
0.6,0.363636364,0.404833365,4
0.6,0.454545455,0.37764307,4
0.6,0.636363636,0.34743163,4
0.6,0.727272727,0.330664214,4
0.6,0.909090909,0.329304766,4
0.6,1.0,0.309516206,4
0.2,0.181818182,0.531721412,4
0.2,0.272727273,0.504531116,4
0.2,0.454545455,0.438065949,4
0.2,0.545454545,0.398791077,4
0.2,0.727272727,0.36253735,4
0.2,0.818181818,0.314199046,4
0.2,1.0,0.329304766,4
0.8,0.0,0.28125225,4
0.8,0.181818182,0.273866976,4
0.8,0.272727273,0.256465241,4
0.8,0.454545455,0.227522439,4
0.8,0.545454545,0.235649303,4
0.8,0.727272727,0.207945319,4
0.8,0.818181818,0.197733879,4
0.4,0.090909091,0.24220528,4
0.4,0.181818182,0.240332143,4
0.4,0.454545455,0.262839599,4
0.4,0.545454545,0.255860743,4
0.4,0.727272727,0.233987607,4
0.4,0.818181818,0.213096646,4
0.4,1.0,0.234924175,4
1.0,0.0,0.592144292,4
1.0,0.181818182,0.416917941,4
1.0,0.272727273,0.422960229,4
1.0,0.454545455,0.407854509,4
1.0,0.545454545,0.33232591,4
1.0,0.727272727,0.329304766,4
1.0,0.818181818,0.365558494,4
1.0,1.0,0.329304766,4
0.0,0.0,0.58308086,5
0.0,0.181818182,0.311177902,5
0.0,0.272727273,0.277945319,5
0.0,0.454545455,0.335347054,5
0.0,0.545454545,0.229607015,5
0.0,0.727272727,0.290029894,5
0.0,0.818181818,0.30211447,5
0.0,1.0,0.314199046,5
0.6,0.0,0.558911708,5
0.6,0.181818182,0.501509972,5
0.6,0.272727273,0.534742556,5
0.6,0.454545455,0.489425397,5
0.6,0.545454545,0.443805988,5
0.6,0.727272727,0.389727645,5
0.6,0.818181818,0.395044805,5
0.6,1.0,0.365558494,5
0.2,0.181818182,0.422960229,5
0.2,0.545454545,0.34743163,5
0.2,0.636363636,0.33232591,5
0.2,0.909090909,0.296072182,5
0.2,1.0,0.33232591,5
0.8,0.090909091,0.419184136,5
0.8,0.181818182,0.422839599,5
0.8,0.363636364,0.378368198,5
0.8,0.454545455,0.371600782,5
0.8,0.636363636,0.348791077,5
0.8,0.727272727,0.353685358,5
0.8,0.909090909,0.323262478,5
0.8,1.0,0.295347054,5
0.4,0.181818182,0.471298533,5
0.4,0.272727273,0.444108237,5
0.4,0.454545455,0.383685358,5
0.4,0.545454545,0.350875653,5
0.4,0.727272727,0.341389342,5
0.4,0.818181818,0.341389342,5
0.4,1.0,0.296072182,5
1.0,0.090909091,0.495467684,5
1.0,0.272727273,0.410875653,5
1.0,0.363636364,0.371600782,5
1.0,0.545454545,0.323262478,5
1.0,0.636363636,0.30211447,5
1.0,0.818181818,0.350452774,5
1.0,0.909090909,0.308156758,5
0.0,0.090909091,0.320241334,1
0.0,0.363636364,0.268881887,1
0.0,0.636363636,0.250241334,1
0.0,0.909090909,0.253776167,1
0.6,0.090909091,0.365860743,1
0.6,0.363636364,0.326072182,1
0.6,0.636363636,0.293776167,1
0.6,0.909090909,0.244712735,1
0.2,0.090909091,0.296585871,1
0.2,0.363636364,0.274712735,1
0.2,0.636363636,0.280966463,1
0.2,0.909090909,0.229607015,1
0.8,0.090909091,0.31700875,1
0.8,0.363636364,0.314199046,1
0.8,0.636363636,0.305135614,1
0.8,0.909090909,0.296072182,1
0.4,0.090909091,0.338368198,1
0.4,0.363636364,0.30211447,1
0.4,0.636363636,0.33232591,1
0.4,0.909090909,0.30211447,1
1.0,0.090909091,0.290029894,1
1.0,0.363636364,0.259093326,1
1.0,0.636363636,0.288368198,1
1.0,1.0,0.28700875,1
0.0,0.181818182,0.999998728,2
0.0,0.454545455,0.78851865,2
0.0,0.727272727,0.586102004,2
0.0,1.0,0.439213957,2
0.6,0.181818182,0.999998728,2
0.6,0.454545455,0.725074626,2
0.6,0.727272727,0.534742556,2
0.6,1.0,0.450150525,2
0.2,0.181818182,0.513594548,2
0.2,0.454545455,0.480361965,2
0.2,0.727272727,0.371600782,2
0.8,0.090909091,0.999998728,2
0.8,0.363636364,0.71299005,2
0.8,0.636363636,0.628398019,2
0.8,0.909090909,0.483383109,2
0.4,0.090909091,0.999998728,2
0.4,0.363636364,0.999998728,2
0.4,0.636363636,0.851962673,2
0.4,0.909090909,0.592144292,2
1.0,0.090909091,0.99395644,2
1.0,0.363636364,0.779455218,2
1.0,0.636363636,0.655588315,2
1.0,0.909090909,0.444108237,2
0.0,0.090909091,0.374621926,3
0.0,0.363636364,0.344410486,3
0.0,0.636363636,0.315558494,3
0.0,0.909090909,0.303685358,3
0.6,0.272727273,0.492446541,3
0.6,0.545454545,0.374706501,3
0.6,0.818181818,0.356072182,3
0.2,0.0,0.534742556,3
0.2,0.272727273,0.395769933,3
0.2,0.545454545,0.353473918,3
0.2,0.818181818,0.280966463,3
0.8,0.090909091,0.480361965,3
0.8,0.363636364,0.432023661,3
0.8,0.636363636,0.271903031,3
0.8,0.909090909,0.30211447,3
0.4,0.272727273,0.549848276,3
0.4,0.545454545,0.416917941,3
0.4,0.818181818,0.380664214,3
1.0,0.090909091,0.752264922,3
1.0,0.363636364,0.52265798,3
1.0,0.636363636,0.404833365,3
1.0,0.909090909,0.311177902,3
0.0,0.181818182,0.471298533,4
0.0,0.454545455,0.380664214,4
0.0,0.727272727,0.308156758,4
0.0,1.0,0.359516206,4
0.6,0.181818182,0.423473918,4
0.6,0.545454545,0.359516206,4
0.6,0.818181818,0.333685358,4
0.2,0.090909091,0.513594548,4
0.2,0.363636364,0.480361965,4
0.2,0.636363636,0.371600782,4
0.2,0.909090909,0.326283622,4
0.8,0.090909091,0.2717824,4
0.8,0.363636364,0.24199384,4
0.8,0.636363636,0.22700875,4
0.4,0.0,0.263776167,4
0.4,0.272727273,0.223564727,4
0.4,0.636363636,0.253776167,4
0.4,0.909090909,0.209818455,4
1.0,0.090909091,0.462235101,4
1.0,0.363636364,0.413896797,4
1.0,0.636363636,0.34743163,4
1.0,0.909090909,0.335347054,4
0.0,0.090909091,0.444108237,5
0.0,0.363636364,0.296072182,5
0.0,0.636363636,0.356495062,5
0.0,0.909090909,0.320241334,5
0.6,0.090909091,0.540784844,5
0.6,0.363636364,0.506102004,5
0.6,0.636363636,0.401812221,5
0.6,0.909090909,0.369002517,5
0.2,0.363636364,0.362839599,5
0.2,0.818181818,0.320241334,5
0.8,0.0,0.446283622,5
0.8,0.272727273,0.391177902,5
0.8,0.545454545,0.378156758,5
0.8,0.818181818,0.319939085,5
0.4,0.090909091,0.519636836,5
0.4,0.363636364,0.398791077,5
0.4,0.636363636,0.34743163,5
0.4,0.909090909,0.323262478,5
1.0,0.181818182,0.444108237,5
1.0,0.454545455,0.353473918,5
1.0,0.727272727,0.36253735,5
1.0,1.0,0.314199046,5
